"","ï..River","ID","Latitude","Longitude","Projection"
"1","Sacramento","t001",4320150.248,601903.867,"UTM 10N"
"2","Sacramento","t002",4321572.65,601342.719,"UTM 10N"
"3","Sacramento","t003",4323168.153,600267.256,"UTM 10N"
"4","Sacramento","t005",4324802.076,597972.728,"UTM 10N"
"5","Sacramento","t006",4325603.756,595988.064,"UTM 10N"
"6","Sacramento","t008",4327551.008,595741.455,"UTM 10N"
"7","Sacramento","t009",4329442.084,594902.557,"UTM 10N"
"8","Sacramento","t010",4330798.126,593405.642,"UTM 10N"
"10","Sacramento","t012",4332977.748,591590.62,"UTM 10N"
"9","Sacramento","t011",4334135.442,593515.552,"UTM 10N"
