latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.80311592222222,-111.24068691944444,183.2021,1.81333,217,2018,183.2021,-91.693
58.80311592222222,-111.24068691944444,183.2021,1.81361,217,2018,183.2021,-91.735
58.80311592222222,-111.24068691944444,183.2021,1.81389,217,2018,183.2021,-91.869
58.80311592222222,-111.24068691944444,183.2022,1.81417,217,2018,183.2022,-91.760
58.80311592222222,-111.24068691944444,183.2022,1.81444,217,2018,183.2022,-91.713
58.80311592222222,-111.24068691944444,183.2022,1.81472,217,2018,183.2022,-91.875
58.80311592222222,-111.24068691944444,183.2023,1.81500,217,2018,183.2023,-91.785
58.80311592222222,-111.24068691944444,183.2023,1.81528,217,2018,183.2023,-91.508
58.80311592222222,-111.24068691944444,183.2023,1.81556,217,2018,183.2023,-91.111
58.80311592222222,-111.24068691944444,183.2024,1.81583,217,2018,183.2024,-91.296
58.80311592222222,-111.24068691944444,183.2024,1.81611,217,2018,183.2024,-91.474
58.80311592222222,-111.24068691944444,183.2024,1.81639,217,2018,183.2024,-91.703
58.80311592222222,-111.24068691944444,183.2025,1.81667,217,2018,183.2025,-91.866
58.80311592222222,-111.24068691944444,183.2025,1.81694,217,2018,183.2025,-92.214
58.80311592222222,-111.24068691666666,183.2025,1.81722,217,2018,183.2025,-92.125
58.80311592222222,-111.24068691666666,183.2026,1.81750,217,2018,183.2026,-91.749
58.80311592222222,-111.24068691666666,183.2026,1.81778,217,2018,183.2026,-91.403
58.80311592222222,-111.24068691666666,183.2026,1.81806,217,2018,183.2026,-91.189
58.80311592222222,-111.24068691666666,183.2026,1.81833,217,2018,183.2026,-91.408
58.80311592222222,-111.24068691666666,183.2027,1.81861,217,2018,183.2027,-91.581
58.80311592222222,-111.24068691666666,183.2027,1.81889,217,2018,183.2027,-91.437
58.80311592222222,-111.24068691666666,183.2027,1.81917,217,2018,183.2027,-91.300
58.80311592222222,-111.24068691666666,183.2027,1.81944,217,2018,183.2027,-91.266
58.80311592222222,-111.2406869138889,183.2027,1.81972,217,2018,183.2027,-91.702
58.80311591944445,-111.2406869138889,183.2028,1.82000,217,2018,183.2028,-92.172
58.80311591944445,-111.2406869138889,183.2028,1.82028,217,2018,183.2028,-92.684
58.80311591944445,-111.2406869138889,183.2028,1.82056,217,2018,183.2028,-92.832
58.80311591944445,-111.2406869138889,183.2028,1.82083,217,2018,183.2028,-93.046
58.80311591944445,-111.2406869138889,183.2028,1.82111,217,2018,183.2028,-93.109
58.80311591944445,-111.2406869138889,183.2028,1.82139,217,2018,183.2028,-93.042
58.80311591944445,-111.24068691111111,183.2028,1.82167,217,2018,183.2028,-93.036
58.80311591944445,-111.24068691111111,183.2029,1.82194,217,2018,183.2029,-93.047
58.80311591944445,-111.24068691111111,183.2029,1.82222,217,2018,183.2029,-93.637
58.80311591944445,-111.24068691111111,183.2029,1.82250,217,2018,183.2029,-93.860
58.80311591944445,-111.24068691111111,183.2029,1.82278,217,2018,183.2029,-94.136
58.80311591944445,-111.24068691111111,183.2029,1.82306,217,2018,183.2029,-94.553
58.80311591944445,-111.24068691111111,183.2029,1.82333,217,2018,183.2029,-94.363
