latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.71218688611111,-111.14667353055557,184.1731,23.51750,220,2018,213.250,-94.548
58.7121872638889,-111.14667340555557,184.2125,23.51722,220,2018,213.289,-94.953
58.71218711666667,-111.14667350277779,184.1688,23.51694,220,2018,213.245,-95.649
58.71218755277778,-111.14667342777778,184.2324,23.51667,220,2018,213.309,-96.507
58.71218729166667,-111.14667342222224,184.1924,23.51639,220,2018,213.269,-97.866
58.712186997222226,-111.1466735,184.1159,23.51611,220,2018,213.192,-99.076
58.71218678055556,-111.14667340000001,184.0499,23.51583,220,2018,213.126,-100.273
58.7121874888889,-111.14667299166669,184.1146,23.51556,220,2018,213.191,-100.611
58.71218483611111,-111.14667245277778,184.1788,23.51528,220,2018,213.255,-100.042
58.71218056111112,-111.14667163055557,184.1583,23.51500,220,2018,213.235,-99.151
58.7121775388889,-111.14667151944445,184.1855,23.51472,220,2018,213.262,-97.890
58.71217612777779,-111.14667225555556,184.262,23.51444,220,2018,213.338,-96.841
58.712175900000005,-111.14667286666669,184.3444,23.51417,220,2018,213.421,-96.241
58.71217558888888,-111.14667380833336,184.3322,23.51389,220,2018,213.409,-95.595
58.71217488333334,-111.14667448888888,184.2347,23.51361,220,2018,213.311,-95.106
58.71217403611112,-111.14667382500001,184.1116,23.51333,220,2018,213.188,-94.811
58.71217399722222,-111.14667342777778,184.0795,23.51306,220,2018,213.156,-94.551
58.71217439444443,-111.14667447500001,184.1915,23.51278,220,2018,213.268,-93.882
58.71216891666668,-111.14667609444444,183.9174,23.51250,220,2018,212.994,-94.081
58.712164188888906,-111.14667771666669,184.0772,23.51222,220,2018,213.154,-93.021
58.71215266944445,-111.1466781777778,183.5437,23.51194,220,2018,212.620,-94.418
58.712144019444445,-111.14667806111112,183.4733,23.51167,220,2018,212.550,-93.939
58.71213322222223,-111.14667666944445,183.0611,23.51139,220,2018,212.138,-93.899
58.71212064722223,-111.14667618888892,182.4935,23.51111,220,2018,211.570,-93.857
58.712108369444465,-111.1466777638889,181.9701,23.51083,220,2018,211.046,-94.043
58.712099180555576,-111.14668074722225,181.8427,23.51056,220,2018,210.919,-93.627
58.71208691666667,-111.14668478611114,181.3163,23.51028,220,2018,210.393,-95.023
58.712079436111125,-111.14669010833336,181.3983,23.51000,220,2018,210.475,-94.821
58.712071152777796,-111.14669686111112,181.3806,23.50972,220,2018,210.457,-96.019
58.71206298333336,-111.14670363333337,181.302,23.50944,220,2018,210.378,-97.714
58.71205536388889,-111.14671104166669,181.1989,23.50917,220,2018,210.275,-99.476
58.71204797222224,-111.14671839444446,181.1097,23.50889,220,2018,210.186,-101.186
58.712041630555575,-111.1467254027778,181.1288,23.50861,220,2018,210.205,-102.290
58.712035322222235,-111.14673264166667,181.1034,23.50833,220,2018,210.180,-101.677
58.712029419444455,-111.1467397888889,181.0518,23.50806,220,2018,210.128,-100.198
58.71202460277778,-111.14674533888889,181.104,23.50778,220,2018,210.180,-99.053
58.71202089444446,-111.14675000833336,181.4512,23.50750,220,2018,210.527,-97.799
58.712016311111114,-111.14675321944445,181.352,23.50722,220,2018,210.428,-97.991
