latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.62652864166667,-111.68065961666667,182.686,3.00000,223,2018,182.6860,-99.516
58.62652913333334,-111.68065892222224,182.7566,3.00028,223,2018,182.7566,-99.132
58.62652900555556,-111.68065879444447,182.6794,3.00056,223,2018,182.6794,-99.031
58.62652909166667,-111.68065914722223,182.6942,3.00083,223,2018,182.6942,-98.773
58.62652913611111,-111.68065968055556,182.7626,3.00111,223,2018,182.7626,-98.523
58.62652913055556,-111.68066018333336,182.8245,3.00139,223,2018,182.8245,-98.390
58.6265289138889,-111.68066065833334,182.8861,3.00167,223,2018,182.8861,-98.536
58.62652876944445,-111.68066093888889,182.9534,3.00194,223,2018,182.9534,-98.600
58.62652868055555,-111.68066109166669,182.9714,3.00222,223,2018,182.9714,-98.288
58.62652854166667,-111.680661275,182.9714,3.00250,223,2018,182.9714,-98.307
58.626528324999995,-111.68066146944444,182.9519,3.00278,223,2018,182.9519,-98.296
58.626528224999994,-111.68066159444444,182.9284,3.00306,223,2018,182.9284,-98.412
58.62652820277778,-111.68066178888891,182.8959,3.00333,223,2018,182.8959,-98.967
58.62652817777778,-111.6806622,182.8584,3.00361,223,2018,182.8584,-99.848
58.62652812222223,-111.68066265277778,182.8207,3.00389,223,2018,182.8207,-100.346
58.62652815,-111.68066317777779,182.787,3.00417,223,2018,182.7870,-100.906
58.62652819444445,-111.68066363333334,182.75,3.00444,223,2018,182.7500,-100.962
58.62652824444445,-111.68066402500001,182.7152,3.00472,223,2018,182.7152,-100.825
58.62652831388889,-111.6806642638889,182.683,3.00500,223,2018,182.6830,-100.539
58.626528319444446,-111.68066453055556,182.6499,3.00528,223,2018,182.6499,-100.141
58.62652823888888,-111.68066474166667,182.6281,3.00556,223,2018,182.6281,-99.976
58.62652812777778,-111.68066481666669,182.6203,3.00583,223,2018,182.6203,-100.507
58.62652798333333,-111.68066484722223,182.6007,3.00611,223,2018,182.6007,-100.949
58.626527863888896,-111.68066488055557,182.5788,3.00639,223,2018,182.5788,-101.122
58.62652783611111,-111.68066486666669,182.5563,3.00667,223,2018,182.5563,-101.486
58.626527783333344,-111.68066480555558,182.5321,3.00694,223,2018,182.5321,-101.888
58.62652781388889,-111.68066477222223,182.5265,3.00722,223,2018,182.5265,-101.820
58.62652785555556,-111.68066473333336,182.5188,3.00750,223,2018,182.5188,-101.809
58.62652790833334,-111.68066466111111,182.5183,3.00778,223,2018,182.5183,-101.867
58.62652788611111,-111.68066464444445,182.518,3.00806,223,2018,182.5180,-101.156
58.62652780277778,-111.68066461388891,182.5115,3.00833,223,2018,182.5115,-100.431
58.62652773888889,-111.68066453333336,182.5189,3.00861,223,2018,182.5189,-100.138
58.62652768888889,-111.68066441388892,182.5315,3.00889,223,2018,182.5315,-99.796
58.62652763333333,-111.6806643,182.5524,3.00917,223,2018,182.5524,-99.727
58.62652757222224,-111.68066415555558,182.5649,3.00944,223,2018,182.5649,-99.837
58.62652746944445,-111.68066400000001,182.5831,3.00972,223,2018,182.5831,-99.720
58.62652744166667,-111.68066381666668,182.6044,3.01000,223,2018,182.6044,-99.312
58.62652740555555,-111.68066364444444,182.6208,3.01028,223,2018,182.6208,-99.632
58.626527358333334,-111.68066350000001,182.64,3.01056,223,2018,182.6400,-99.796
58.62652728333333,-111.68066339444445,182.6534,3.01083,223,2018,182.6534,-99.875
58.626527169444444,-111.6806633638889,182.6656,3.01111,223,2018,182.6656,-99.867
58.62652701944445,-111.6806633638889,182.6771,3.01139,223,2018,182.6771,-99.969
58.626526902777776,-111.6806633638889,182.6882,3.01167,223,2018,182.6882,-99.982
58.62652681944444,-111.68066330833334,182.6982,3.01194,223,2018,182.6982,-100.335
58.62652672222223,-111.68066328611113,182.7143,3.01222,223,2018,182.7143,-100.560
58.626526633333334,-111.68066326388889,182.7337,3.01250,223,2018,182.7337,-100.140
58.626526561111106,-111.68066319444445,182.7526,3.01278,223,2018,182.7526,-99.581
58.62652647222221,-111.68066314166667,182.767,3.01306,223,2018,182.7670,-99.511
58.62652640277778,-111.68066309722224,182.7911,3.01333,223,2018,182.7911,-99.356
58.626526344444464,-111.68066304722223,182.8122,3.01361,223,2018,182.8122,-99.275
58.626526294444446,-111.68066299444445,182.8172,3.01389,223,2018,182.8172,-99.040
58.626526275,-111.68066293055557,182.8198,3.01417,223,2018,182.8198,-98.840
58.626526275,-111.68066285555555,182.8322,3.01444,223,2018,182.8322,-99.091
58.626526263888884,-111.68066276944445,182.8478,3.01472,223,2018,182.8478,-99.341
58.62652621666667,-111.68066270833334,182.8593,3.01500,223,2018,182.8593,-99.212
58.62652621111112,-111.68066263333336,182.8735,3.01528,223,2018,182.8735,-98.879
58.626526224999985,-111.68066258055556,182.8907,3.01556,223,2018,182.8907,-99.026
58.626526194444445,-111.68066255555557,182.9085,3.01583,223,2018,182.9085,-99.193
58.626526169444446,-111.68066252222222,182.9187,3.01611,223,2018,182.9187,-99.492
58.62652613888889,-111.68066248888891,182.9296,3.01639,223,2018,182.9296,-99.880
58.62652606944444,-111.68066245,182.9371,3.01667,223,2018,182.9371,-99.965
58.62652602222223,-111.68066241111111,182.9468,3.01694,223,2018,182.9468,-100.301
58.626525997222224,-111.68066233055555,182.9523,3.01722,223,2018,182.9523,-100.339
58.626525963888895,-111.68066221944447,182.9667,3.01750,223,2018,182.9667,-100.228
58.626525955555564,-111.68066204444445,182.981,3.01778,223,2018,182.9810,-99.992
58.626525955555564,-111.68066188055556,183.0004,3.01806,223,2018,183.0004,-99.652
58.62652595,-111.68066174166667,183.0195,3.01833,223,2018,183.0195,-99.519
58.626525963888895,-111.68066162222222,183.048,3.01861,223,2018,183.0480,-99.482
58.626525972222225,-111.68066149999999,183.071,3.01889,223,2018,183.0710,-99.448
58.626525975,-111.6806614138889,183.097,3.01917,223,2018,183.0970,-99.697
58.626525955555564,-111.68066138055556,183.1203,3.01944,223,2018,183.1203,-99.952
58.626525925,-111.68066136111113,183.1463,3.01972,223,2018,183.1463,-99.570
58.62652590833333,-111.68066133333333,183.1657,3.02000,223,2018,183.1657,-99.107
58.62652587222222,-111.68066130555557,183.1765,3.02028,223,2018,183.1765,-98.659
58.62652584166667,-111.68066127222222,183.1836,3.02056,223,2018,183.1836,-98.337
58.626525794444454,-111.68066123611112,183.1839,3.02083,223,2018,183.1839,-98.568
58.626525788888884,-111.68066119166667,183.1817,3.02111,223,2018,183.1817,-99.052
58.62652581111111,-111.68066114722222,183.1787,3.02139,223,2018,183.1787,-99.482
58.626525808333334,-111.68066110555557,183.1724,3.02167,223,2018,183.1724,-99.872
58.62652579166667,-111.68066106944444,183.1666,3.02194,223,2018,183.1666,-99.774
58.62652575833334,-111.68066104722224,183.163,3.02222,223,2018,183.1630,-99.753
58.62652574166667,-111.68066105000001,183.1568,3.02250,223,2018,183.1568,-99.387
58.62652574166667,-111.68066103055557,183.1528,3.02278,223,2018,183.1528,-98.934
58.626525772222216,-111.6806610111111,183.1445,3.02306,223,2018,183.1445,-99.001
58.62652581666667,-111.68066099444445,183.1394,3.02333,223,2018,183.1394,-98.902
58.626525869444436,-111.680661,183.137,3.02361,223,2018,183.1370,-98.855
58.62652593611111,-111.68066102222222,183.1347,3.02389,223,2018,183.1347,-98.410
58.62652601111111,-111.68066105555556,183.1378,3.02417,223,2018,183.1378,-98.136
58.626526077777775,-111.68066108333333,183.1432,3.02444,223,2018,183.1432,-98.079
58.62652611944444,-111.68066109444446,183.143,3.02472,223,2018,183.1430,-98.183
58.626526166666665,-111.68066109166669,183.1445,3.02500,223,2018,183.1445,-98.088
58.626526194444445,-111.68066107222224,183.1516,3.02528,223,2018,183.1516,-98.271
58.62652621944445,-111.68066106388888,183.1594,3.02556,223,2018,183.1594,-98.683
58.626526224999985,-111.68066105000001,183.1698,3.02583,223,2018,183.1698,-98.942
58.62652624166667,-111.68066103333335,183.1875,3.02611,223,2018,183.1875,-99.001
58.626526291666664,-111.68066100277778,183.2049,3.02639,223,2018,183.2049,-98.934
58.6265263361111,-111.68066097500002,183.2175,3.02667,223,2018,183.2175,-99.049
58.62652639166667,-111.68066094166667,183.2348,3.02694,223,2018,183.2348,-99.090
58.62652645277778,-111.68066089444444,183.2489,3.02722,223,2018,183.2489,-98.920
58.62652651944445,-111.68066084166666,183.2663,3.02750,223,2018,183.2663,-98.909
58.62652660277778,-111.6806607777778,183.2853,3.02778,223,2018,183.2853,-99.030
58.626526675,-111.68066071944446,183.3001,3.02806,223,2018,183.3001,-99.060
