latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.626537086111114,-111.68065844444448,183.8233,15.20889,226,2018,183.8233,-836280.163
58.62653666666669,-111.68065820555556,183.8171,15.20917,226,2018,183.8171,-836283.645
58.62653715555557,-111.68065798333333,183.8308,15.20944,226,2018,183.8308,-836286.688
58.626537794444445,-111.68065837222223,183.8621,15.20972,226,2018,183.8621,-836289.604
58.62653845277778,-111.68065828888889,183.8727,15.21000,226,2018,183.8727,-836292.178
58.62653891111111,-111.68065804166667,183.89,15.21028,226,2018,183.8900,-836294.543
58.62653904166666,-111.68065828333336,183.9087,15.21056,226,2018,183.9087,-836296.663
58.626539269444436,-111.6806585888889,183.9463,15.21083,226,2018,183.9463,-836298.564
58.626539494444444,-111.68065908333334,184.0056,15.21111,226,2018,184.0056,-836300.497
58.62653962222223,-111.68065935555556,184.0613,15.21139,226,2018,184.0613,-836302.605
58.62653956388888,-111.68065985000001,184.0841,15.21167,226,2018,184.0841,-836304.577
58.62653933888889,-111.6806604388889,184.1056,15.21194,226,2018,184.1056,-836306.602
58.626539027777774,-111.68066112500001,184.1096,15.21222,226,2018,184.1096,-836308.857
58.62653875,-111.68066177500002,184.111,15.21250,226,2018,184.1110,163688.984
58.62653839444445,-111.68066222222225,184.1107,15.21278,226,2018,184.1107,-99.028
58.62653807777779,-111.68066258611111,184.114,15.21306,226,2018,184.1140,-100.437
58.6265378,-111.68066294166667,184.1197,15.21333,226,2018,184.1197,-100.859
58.62653755,-111.68066318055556,184.1196,15.21361,226,2018,184.1196,-101.129
58.62653732222222,-111.6806633638889,184.1309,15.21389,226,2018,184.1309,-103.722
58.626537086111114,-111.68066355000002,184.1355,15.21417,226,2018,184.1355,-103.627
58.626536883333344,-111.68066364444444,184.1348,15.21444,226,2018,184.1348,-102.980
58.62653672222222,-111.68066361388891,184.1326,15.21472,226,2018,184.1326,-102.262
58.626536583333326,-111.68066348611113,184.1322,15.21500,226,2018,184.1322,-101.899
58.62653642222224,-111.68066351944445,184.1325,15.21528,226,2018,184.1325,-101.532
58.62653628333334,-111.68066359166669,184.1293,15.21556,226,2018,184.1293,-101.121
58.62653614166666,-111.6806636638889,184.1264,15.21583,226,2018,184.1264,-100.662
58.62653601666668,-111.68066385555557,184.1259,15.21611,226,2018,184.1259,-100.108
58.626535858333334,-111.6806641527778,184.1198,15.21639,226,2018,184.1198,-99.907
58.62653573055555,-111.68066439444445,184.1199,15.21667,226,2018,184.1199,-99.758
58.62653558611111,-111.68066463888891,184.1142,15.21694,226,2018,184.1142,-99.631
58.62653543055556,-111.6806648027778,184.1071,15.21722,226,2018,184.1071,-99.309
58.626535269444446,-111.680664925,184.1039,15.21750,226,2018,184.1039,-98.904
58.62653505277778,-111.68066499444447,184.0898,15.21778,226,2018,184.0898,-98.989
58.626534825,-111.68066510277778,184.076,15.21806,226,2018,184.0760,-99.080
58.626534588888894,-111.68066528333334,184.0663,15.21833,226,2018,184.0663,-99.534
58.62653436666667,-111.68066553333335,184.0539,15.21861,226,2018,184.0539,-99.601
58.626534188888876,-111.68066577500001,184.0452,15.21889,226,2018,184.0452,-99.294
