"","Location","Latitude","Longitude","Q","Quality","Width","Area","new_date"
"1","SR XC B",59.2232584,-111.4492276,3666.034965,2,"401.465",4044.037598,2019-07-23 10:07:49
"2","SR XC B",59.22380417,-111.4496424,3684.018061,2,"410.861",4073.299072,2019-07-23 10:15:32
"3","SR XC B",59.22331752,-111.4481584,3523.787704,2,"385.841",3996.128662,2019-07-23 10:30:58
"5","SR XC B",59.22359637,-111.4489231,3665.878448,2,"392.233",4154.140137,2019-07-23 10:39:29
"6","SR XC B",59.22327488,-111.4486511,3752.218341,2,"392.842",4056.862305,2019-07-23 11:00:37
"7","SR XC B",59.2238788,-111.4491125,3591.203191,2,"401.379",4038.888916,2019-07-23 11:08:48
"8","SRXCA",59.14442299,-111.4209994,3629.758848,2,"925.505",4933.891602,2019-07-23 13:21:56
"9","SRXCA",59.14461461,-111.4198235,3599.744744,2,"892.667",4634.881348,2019-07-23 13:37:02
"10","SRXCA",59.14451085,-111.4202112,3654.366581,2,"916.951",4758.681152,2019-07-23 14:02:22
"11","SRXCA",59.1443115,-111.4196715,3635.191418,2,"919.064",4600.880859,2019-07-23 14:18:16
"12","SRC",59.32803832,-111.4228751,4074.120702,2,"551.813",4208.852051,2019-07-24 09:36:03
"13","SRC",59.32745933,-111.4215731,3738.75757,2,"556.837",3472.370117,2019-07-24 09:49:05
"14","SR XC D",59.44927157,-111.4698803,3679.397709,2,"511.767",5500.930176,2019-07-24 10:51:16
"15","SR XC D",59.44874025,-111.4699346,3677.198841,2,"550.951",5716.507813,2019-07-24 11:00:37
"16","SR XC D",59.44971249,-111.4695676,3810.736378,2,"513.403",5204.61084,2019-07-24 11:15:06
"17","SR XC D",59.44969097,-111.4696451,3740.090906,2,"504.295",4503.191895,2019-07-24 11:25:41
"21","EM",58.56039547,-111.157705,137.6632193,2,"51.948",292.8968811,2019-07-27 10:56:40
"22","EM",58.56036969,-111.1577526,141.2133897,2,"52.185",294.253418,2019-07-27 10:58:57
"23","EM2",58.56153785,-111.1302871,142.2799959,2,"97.242",321.157074,2019-07-27 11:41:12
"24","EM2",58.5616295,-111.1301306,148.3237713,2,"94.799",319.9093628,2019-07-27 11:45:07
"25","EM2",58.56163049,-111.1302421,148.3456567,2,"97.835",321.4991455,2019-07-27 11:48:36
"27","EM2",58.5616527,-111.1304798,149.396137,2,"95.859",310.3223877,2019-07-27 11:52:07
"28","EM2",58.56164405,-111.1301697,145.6607366,2,"96.892",323.6724243,2019-07-27 11:55:38
"29","EM2",58.56161639,-111.1303711,146.1097667,2,"95.727",320.097229,2019-07-27 12:09:32
"30","EM2",58.56168145,-111.1303503,144.8677994,2,"93.453",308.0179443,2019-07-27 12:13:26
"31","RC19-01",58.87450575,-111.2468483,1468.054913,2,"313.725",2585.202148,2019-08-05 12:33:09
"32","RC19-01",58.87500611,-111.2468259,1510.175539,2,"322.95",2577.143555,2019-08-05 12:43:34
"35","RC19-02",58.90586574,-111.1859253,1469.654629,2,"256.337",2543.13916,2019-08-05 13:46:47
"36","RC19-02",58.90572946,-111.1862282,1444.503894,2,"257.68",2553.669678,2019-08-05 13:52:39
"39","RC19-03",58.88627326,-111.2000137,1357.876082,2,"168.185",2727.837891,2019-08-05 14:37:10
"40","RC19-03",58.8863316,-111.2000713,1361.622021,2,"157.693",2711.591309,2019-08-05 14:40:30
"44","RC19-04",58.87465698,-111.2468677,1438.205556,2,"321.398",2812.376709,2019-08-05 15:33:07
"45","RC19-04",58.87459506,-111.2472413,1412.358779,2,"309.238",2503.189453,2019-08-05 15:39:27
"47","RC19-05",58.84990532,-111.2633602,1419.002898,2,"320.91",2612.073975,2019-08-05 16:43:44
"48","RC19-05",58.84989471,-111.2631073,1387.31979,2,"318.987",2559.902344,2019-08-05 16:51:18
"50","EM1",58.5672751,-111.0919035,126.4868954,2,"66.743",300.4394836,2019-08-07 10:14:12
"51","EM1",58.56722159,-111.0920358,129.4459255,2,"65.066",304.9880981,2019-08-07 10:16:30
"52","EM1",58.56727363,-111.0919361,133.3141631,2,"77.89",314.8711853,2019-08-07 10:19:32
"53","EM1",58.56719631,-111.0920549,130.2811023,2,"77.575",314.4162598,2019-08-07 10:22:00
"55","EM2",58.5616585,-111.1308231,138.9161192,2,"100.739",318.2982483,2019-08-07 11:08:24
"56","EM2",58.56160039,-111.1307436,136.1469108,2,"102.569",314.9208374,2019-08-07 11:13:50
"57","EM2",58.56159111,-111.1309472,137.8334051,2,"102.427",322.3972473,2019-08-07 11:17:09
"58","EM2",58.5616398,-111.130431,135.5830799,2,"95.393",314.5956116,2019-08-07 11:20:38
"59","EM3",58.5622465,-111.1578238,129.6513684,2,"64.474",291.6757813,2019-08-07 11:59:47
"60","EM3",58.56235544,-111.1577275,135.4812607,2,"69.715",290.1660156,2019-08-07 12:02:34
"62","EM4",58.56980555,-111.1578341,135.3261618,2,"62.853",282.7015686,2019-08-07 12:45:32
"63","EM4",58.56988492,-111.1582353,132.1908813,2,"60.037",278.5069275,2019-08-07 12:48:12
"64","EM4",58.56978752,-111.1576368,125.4952061,2,"81.967",433.938324,2019-08-07 12:50:51
"65","EM5",58.56486163,-111.1814902,140.4466268,2,"78.248",272.7412415,2019-08-07 13:30:40
"66","EM5",58.56478764,-111.1814475,140.5043519,2,"83.048",279.8470764,2019-08-07 13:34:34
"68","EM5",58.565084,-111.1812749,139.4885664,2,"84.652",280.201416,2019-08-07 13:44:37
"69","RICH2",58.41861305,-111.2597565,18.57797017,2,"40.844",164.4641571,2019-08-07 16:10:58
"70","RICH2",58.41862661,-111.2597057,21.11845967,2,"45.671",182.0713654,2019-08-07 16:13:16
"72","RICH2",58.41568597,-111.2734733,19.05658295,2,"39.28",140.0824127,2019-08-07 16:25:44
"75","RICH2",58.41566462,-111.272897,20.88064604,2,"38.576",142.3061218,2019-08-07 16:29:20
"77","RICH2",58.41999079,-111.2851982,20.41401691,2,"39.778",147.8733826,2019-08-07 16:43:20
"78","RICH2",58.41992555,-111.2853293,20.11522261,2,"38.887",145.8417664,2019-08-07 16:45:00
"80","RICH2",58.42123147,-111.2949941,19.78334132,2,"39.495",115.8850327,2019-08-07 16:53:05
"81","RICH2",58.42123641,-111.2948879,20.69950778,2,"39.447",125.0833282,2019-08-07 16:55:08
"82","RICH",58.41843039,-111.2539877,15.08580709,2,"92.685",320.7554932,2019-08-07 17:26:51
"83","RICH",58.41788485,-111.2544659,10.0330231,2,"43.529",101.286499,2019-08-07 17:32:27
"84","RICH",58.41798248,-111.2542909,10.32627553,2,"40.43",99.33963013,2019-08-07 17:33:38
"85","RICH",58.41908853,-111.2526948,13.50908848,2,"64.097",161.9040375,2019-08-07 17:36:28
"86","RICH",58.41916438,-111.2522791,13.72906152,2,"68.242",187.9043274,2019-08-07 17:38:01
"88","QF1",58.65042534,-111.3111682,228.073012,2,"100.801",458.4334106,2019-08-09 10:35:29
"90","QF1",58.65031217,-111.3101489,229.3439873,2,"100.77",434.7846375,2019-08-09 10:40:43
"91","QF1",58.6496792,-111.3031153,233.7301204,2,"105.191",405.6923523,2019-08-09 10:47:31
"92","QF1",58.64960504,-111.3030881,234.0176212,2,"103.936",397.9606628,2019-08-09 10:49:46
"93","QF3",58.6496312,-111.302858,233.1215395,2,"101.885",399.7174683,2019-08-09 11:39:09
"94","QF3",58.64957226,-111.3026806,243.701018,2,"108.243",406.7196655,2019-08-09 11:41:49
"95","QF3",58.64960257,-111.3023429,240.5114587,2,"117.734",388.4584045,2019-08-09 11:44:57
"96","QF3",58.65045803,-111.3130476,220.2895682,2,"117.083",520.1807861,2019-08-09 12:26:49
"97","QF3",58.65042335,-111.3129834,255.0780918,2,"122.529",549.8771362,2019-08-09 12:30:07
"98","QF3",58.65042475,-111.3122815,225.6265134,2,"140.656",636.5581055,2019-08-09 12:33:16
"99","QF5",58.65080786,-111.3239075,143.8644582,2,"54.271",225.3814087,2019-08-09 12:53:44
"100","QF5",58.65085659,-111.3237472,145.344799,2,"54.433",229.0653687,2019-08-09 12:55:27
"101","QF5",58.6508911,-111.3235138,136.9026343,2,"64.872",266.2108154,2019-08-09 12:57:08
"102","QF6",58.64668434,-111.3212921,94.87920659,2,"80.431",199.5512085,2019-08-09 13:08:44
"103","QF6",58.64665393,-111.3215261,99.80194135,2,"79.708",200.974884,2019-08-09 13:11:04
"104","QF6",58.64661051,-111.3216152,94.4925591,2,"78.476",203.7305145,2019-08-09 13:13:07
"105","QF7",58.64031297,-111.3370424,31.2437961,2,"40.271",83.58804321,2019-08-09 13:28:58
"106","QF7",58.64027241,-111.3370939,32.68764125,2,"39.494",85.23805237,2019-08-09 13:30:51
"107","QF8",58.63814248,-111.3312863,61.40408984,2,"43.209",111.0643234,2019-08-09 13:41:30
"108","QF8",58.6380364,-111.3311835,65.14295339,2,"38.8",120.1057129,2019-08-09 13:43:25
"110","QF9",58.60479442,-111.3714542,60.47419816,2,"41.207",134.1811829,2019-08-09 14:19:02
"111","QF9",58.60466674,-111.3715143,62.50644473,2,"43.942",118.2097778,2019-08-09 14:20:45
"112","QF10",58.65410062,-111.2995081,331.0631461,2,"109.081",500.2474365,2019-08-09 14:39:19
"113","QF10",58.65424022,-111.2994016,331.3892282,2,"109.796",505.4009094,2019-08-09 14:43:05
"115","QF10",58.65162572,-111.2852225,84.93769882,2,"125.703",466.4983521,2019-08-09 15:03:09
"116","QF10",58.65188377,-111.284529,91.64666525,2,"133.553",469.1147766,2019-08-09 15:06:01
"117","QF10",58.65219078,-111.2840717,84.49616409,2,"127.263",466.1028748,2019-08-09 15:09:18
"126","EM10-1",58.4767989,-111.4843882,363.1407645,2,"129.665",450.4083252,2019-08-10 13:01:36
"127","EM10-1",58.47680597,-111.4841581,360.8003002,2,"132.995",457.4508057,2019-08-10 13:06:01
"128","EM10-1",58.47681307,-111.4841976,359.1801492,2,"133.863",444.9933167,2019-08-10 13:09:54
"129","EM10-1",58.47912256,-111.4723046,135.9089656,2,"80.895",211.3371429,2019-08-10 13:23:48
"130","EM10-1",58.47915288,-111.4722495,138.4504727,2,"80.306",203.1913147,2019-08-10 13:26:37
"131","EM10-1",58.47921519,-111.4720574,138.9383729,2,"81.524",205.6932373,2019-08-10 13:29:05
"132","EM10-1",58.48147943,-111.4868447,236.1423787,2,"73.177",344.2220154,2019-08-10 13:47:15
"133","EM10-1",58.48141212,-111.4868516,232.8189748,2,"73.945",331.3189697,2019-08-10 13:49:02
"134","EM10-1",58.48151443,-111.4870063,230.1370188,2,"68.82",324.4673462,2019-08-10 13:50:50
"135","EM10-1",58.51344752,-111.519633,140.840027,2,"221.615",581.0230713,2019-08-10 13:56:31
"136","EM10-1",58.49355614,-111.5087755,279.7243884,2,"2,425.69",12018.81152,2019-08-10 14:28:04
"137","EM10-1",58.5048924,-111.5127032,198.9687288,2,"57.989",242.0417023,2019-08-10 14:50:44
"138","EM10-1",58.50489387,-111.5127317,194.5193307,2,"60.666",252.396759,2019-08-10 14:52:58
"139","EM10-1",58.50526986,-111.5126278,98.39733696,2,"79.035",175.9193878,2019-08-10 14:54:40
"140","EM10-5",58.52919491,-111.521613,189.4717773,2,"58.347",214.7093201,2019-08-10 15:27:40
"141","EM10-5",58.5291876,-111.5217536,164.2379742,2,"51.548",198.8870087,2019-08-10 15:29:49
"142","EM10-5",58.52943457,-111.5220539,187.276595,2,"61.875",197.6993866,2019-08-10 15:31:23
"143","EM10-5",58.54247652,-111.4936846,177.1508154,2,"50.772",216.156662,2019-08-10 15:51:04
"144","EM10-5",58.54239627,-111.4937071,193.0080075,2,"58.693",242.9255066,2019-08-10 15:53:23
"145","EM10-5",58.54255766,-111.4938345,105.0167713,2,"66.704",273.8473511,2019-08-10 15:55:24
"146","EM10-5",58.55319652,-111.5002604,191.1656093,2,"72.445",231.5802917,2019-08-10 16:07:16
"147","EM10-5",58.55322467,-111.5003102,200.0259344,2,"77.416",239.0082245,2019-08-10 16:10:02
"148","EM10-5",58.55338759,-111.5001542,167.8530971,2,"68.745",196.8441315,2019-08-10 16:12:19
"149","EM10-5",58.56620009,-111.5048965,191.2536792,2,"70.247",215.8592834,2019-08-10 16:30:30
"150","EM10-5",58.5662175,-111.5048443,184.1734696,2,"69.649",222.7973022,2019-08-10 16:33:31
"151","EM10-5",58.56629246,-111.5048444,210.881163,2,"84.691",247.9317322,2019-08-10 16:35:33
"152","EM10-5",58.58312804,-111.4869506,201.0026708,2,"49.864",242.6173248,2019-08-10 16:50:53
"153","EM10-5",58.58307587,-111.4870901,174.9584452,2,"47.439",229.7742462,2019-08-10 16:52:40
"154","EM10-5",58.58304626,-111.4871175,207.7312605,2,"58.477",289.2738953,2019-08-10 16:53:56
"155","EM10-5",58.59103866,-111.4733025,152.9285564,2,"47.466",217.343689,2019-08-10 17:08:10
"156","EM10-5",58.59099775,-111.4734035,132.454404,2,"29.217",152.6196289,2019-08-10 17:10:22
"157","EM10-5",58.59104367,-111.4732913,54.65655823,2,"31.891",144.4912109,2019-08-10 17:11:53
"158","EM11-1",58.48154953,-111.4869775,217.4101267,2,"73.711",330.5181274,2019-08-11 15:12:25
"159","EM11-1",58.48145148,-111.4868293,222.1280204,2,"72.356",333.2866516,2019-08-11 15:14:45
"160","EM11-1",58.48153871,-111.4869292,208.1124732,2,"69.69",327.128418,2019-08-11 15:16:36
"161","EM11-2",58.47652554,-111.4847652,337.7452157,2,"128.924",422.6662598,2019-08-11 15:25:29
"162","EM11-2",58.47655286,-111.4847419,336.268796,2,"128.694",426.2862549,2019-08-11 15:28:48
"163","EM11-2",58.47656977,-111.4846666,334.0773535,2,"134.125",431.9702148,2019-08-11 15:31:53
"164","EM11-2",58.47915933,-111.4726615,121.7425554,2,"76.862",188.0895996,2019-08-11 15:41:53
"165","EM11-2",58.47918795,-111.4725819,126.9128562,2,"77.024",196.0753784,2019-08-11 15:43:58
"166","EM11-2",58.47917414,-111.4727108,126.855714,2,"79.738",195.1787415,2019-08-11 15:46:16
"167","EM11-04",58.56458114,-111.1811851,126.1109459,2,"77.681",274.0480042,2019-08-11 17:09:06
"168","EM11-04",58.56468248,-111.1818133,0.560362346,2,"12.384",7.29474926,2019-08-11 17:11:34
"169","EM11-04",58.56452942,-111.1812669,127.7176631,2,"80.326",272.0427246,2019-08-11 17:12:29
"170","EM11-04",58.56473273,-111.1812876,123.2449019,2,"84.167",276.1194763,2019-08-11 17:14:38
"171","EM11-5",58.56977269,-111.1579688,125.851761,2,"63.023",276.0386963,2019-08-11 17:26:05
"172","EM11-5",58.56986364,-111.1581213,119.2159878,2,"60.334",274.6770935,2019-08-11 17:27:51
"173","EM11-5",58.56983086,-111.1582634,128.427524,2,"66.46",273.7681274,2019-08-11 17:29:27
"174","EM11-5",58.56983336,-111.1580086,130.4595771,2,"64.487",248.6766357,2019-08-11 17:31:31
"175","EM11-5",58.56207584,-111.1578894,125.8976951,2,"67.82",272.8581848,2019-08-11 17:42:44
"176","EM11-5",58.56208623,-111.1578269,123.7329683,2,"69.379",279.2714539,2019-08-11 17:44:19
"177","EM11-5",58.56203441,-111.157799,128.0991703,2,"68.188",279.886261,2019-08-11 17:45:59
"178","EM11-5",58.56158512,-111.1304157,127.9471675,2,"98.48",315.2133789,2019-08-11 18:26:16
"179","EM11-5",58.56159333,-111.1303729,131.5869619,2,"101.335",313.7242432,2019-08-11 18:28:28
"180","EM11-8",58.5674794,-111.0915682,129.8645295,2,"70.546",310.5401611,2019-08-11 18:42:11
"181","EM11-8",58.56751017,-111.0916248,123.821031,2,"71.864",309.815033,2019-08-11 18:43:49
"188","AR13-1",58.42470455,-111.2500552,827.0239432,2,"156.825",989.5892944,2019-08-13 11:28:36
"189","AR13-1",58.42446201,-111.2504779,870.7965509,2,"162.243",999.5748901,2019-08-13 11:32:47
"190","AR13-1",58.42621758,-111.2510295,201.7526297,2,"214.917",343.108429,2019-08-13 11:39:48
"191","AR13-1",58.42626562,-111.2499295,189.777361,2,"200.852",330.6676941,2019-08-13 11:44:42
"192","AR13-1",58.42527943,-111.2456465,1031.087097,2,"274.541",1269.849487,2019-08-13 11:52:53
"193","AR13-1",58.4251067,-111.2440207,1064.438499,2,"279.285",1321.321899,2019-08-13 12:00:43
"194","AR13-1",58.42530304,-111.2456699,1017.411571,2,"268.35",1246.221802,2019-08-13 12:08:06
