River,ID,Longitude,Latitude,Projection,Year,Start,End,Offset,Time
Rochers,2075559,481153,6536182,UTM 12N,2018,8/6/2018 18:00,9/30/2018 0:00,186.2,8/6/2018 16:35
Rochers,2075568,483649,6534254,UTM 12N,2018,8/6/2018 18:00,9/30/2018 0:00,186.2,8/6/2018 16:48
Rochers,2024021,489031,6531309,UTM 12N,2018,8/6/2018 18:00,9/30/2018 0:00,180.9,8/6/2018 17:10
Baro_2019,2092897,492459,6491214,UTM 12N,2019,7/12/2019 10:00,8/18/2019 18:00,,
Baro_2019,2075662,484812,6475335,UTM 12N,2019,7/13/2019 10:00,8/18/2019 17:00,,
Chilloney's Creek,2084778,483509,6520099,UTM 12N,2019,7/11/2019 10:00,8/17/2019 11:00,,
Chilloney's Creek,2012697,482289,6520497,UTM 12N,2019,7/11/2019 11:00,8/17/2019 11:00,,
Chilloney's Creek,2024020,481090,6519918,UTM 12N,2019,7/11/2019 11:00,8/17/2019 11:00,,
Chilloney's Creek,2024022,480234,6520447,UTM 12N,2019,7/11/2019 12:00,8/17/2019 11:00,,
Chilloney's Creek,2024039,489328,6520658,UTM 12N,2019,7/11/2019 12:00,8/17/2019 11:00,,
Embarras,2043737,494722,6491897,UTM 12N,2019,7/12/2019 10:00,8/18/2019 18:00,,
Embarras,2043851,492459,6491214,UTM 12N,2019,7/12/2019 11:00,8/18/2019 18:00,,
Embarras,2012689,490786,6491286,UTM 12N,2019,7/12/2019 11:00,8/18/2019 18:00,,
Embarras,2093011,490844,6492137,UTM 12N,2019,7/12/2019 11:00,8/18/2019 18:00,,
Embarras,2075568,489496,6491583,UTM 12N,2019,7/12/2019 11:00,8/18/2019 18:00,,
Limon,2091437,485503,6475660,UTM 12N,2019,7/13/2019 11:00,8/18/2019 14:00,,
Limon,2093013,484812,6475335,UTM 12N,2019,7/13/2019 11:00,8/18/2019 10:00,,
Limon,2024014,484011,6475012,UTM 12N,2019,7/13/2019 11:00,8/18/2019 14:00,,
Limon,2093007,483320,6475511,UTM 12N,2019,7/13/2019 11:00,8/18/2019 14:00,,
Limon,2075529,482751,6475637,UTM 12N,2019,7/13/2019 12:00,8/18/2019 14:00,,
Richardson,2024021,484975,6475131,UTM 12N,2019,7/13/2019 16:00,8/18/2019 15:00,,
Richardson,2024030,484374,6474261,UTM 12N,2019,7/13/2019 16:00,8/18/2019 15:00,,
Richardson,2093022,484807,6473636,UTM 12N,2019,7/13/2019 16:00,8/18/2019 15:00,,
Richardson,2024031,485686,6473175,UTM 12N,2019,7/13/2019 16:00,8/18/2019 15:00,,
Richardson,2075532,486387,6473116,UTM 12N,2019,7/13/2019 17:00,8/18/2019 15:00,,
