"","new_time","2075532","2093027","2075529","2084778","2012697"
"25",2018-08-06 15:00:00,NA,0.451544939200001,1.2495449392,1.8185449392,0.640544939200002
"26",2018-08-06 15:05:00,NA,0.451412375600002,1.2434123756,1.8184123756,0.640412375600002
"27",2018-08-06 15:10:00,NA,0.451891644000002,1.246891644,1.818891644,0.637891644000002
"28",2018-08-06 15:15:00,NA,0.451963024400001,1.2469630244,1.8169630244,0.637963024400001
"29",2018-08-06 15:20:00,NA,0.450054124800001,1.2450541248,1.8180541248,0.639054124800001
"30",2018-08-06 15:25:00,NA,0.4499929416,1.2449929416,1.8169929416,0.6359929416
"31",2018-08-06 15:30:00,NA,0.449768603200003,1.2477686032,1.8177686032,0.635768603200003
"32",2018-08-06 15:35:00,NA,0.450339646400002,1.2453396464,1.8173396464,0.636339646400002
"33",2018-08-06 15:40:00,NA,0.450716942800002,1.2457169428,1.8157169428,0.636716942800001
"34",2018-08-06 15:45:00,NA,0.450115308000001,1.245115308,1.818115308,0.630115308000001
"35",2018-08-06 15:50:00,NA,0.4510432532,1.2460432532,1.8180432532,0.6310432532
"36",2018-08-06 15:55:00,NA,0.451502127200001,1.2465021272,1.8165021272,0.628502127200001
"37",2018-08-06 16:00:00,0.539674805200001,0.449674805200001,1.2476748052,1.8166748052,0.629674805200001
"38",2018-08-06 16:05:00,0.536542241600001,0.449542241600001,1.2445422416,1.8165422416,0.629542241600001
"39",2018-08-06 16:10:00,0.536419875200002,0.452419875200002,1.2474198752,1.8174198752,0.629419875200002
"40",2018-08-06 16:15:00,0.533073170400002,0.449073170400002,1.2470731704,1.8160731704,0.626073170400002
"41",2018-08-06 16:20:00,0.537714919600001,0.453714919600001,1.2427149196,1.8157149196,0.627714919600001
"42",2018-08-06 16:25:00,0.536366866,0.452366866,1.247366866,1.816366866,0.629366866
"43",2018-08-06 16:30:00,0.5377230936,0.450723093600001,1.2517230936,1.8187230936,0.6307230936
"44",2018-08-06 16:35:00,0.539487209200001,0.452487209200001,1.2474872092,1.8164872092,0.629487209200001
"45",2018-08-06 16:40:00,0.537027660800002,0.456027660800002,1.2480276608,1.8170276608,0.630027660800001
"46",2018-08-06 16:45:00,0.5406700844,0.453670084400001,1.2486700844,1.8176700844,0.6306700844
"47",2018-08-06 16:50:00,0.537751662,0.453751662,1.245751662,1.817751662,0.627751662
"48",2018-08-06 16:55:00,0.533813519600001,0.452813519600001,1.2478135196,1.8148135196,0.629813519600001
"49",2018-08-06 17:00:00,0.538067775200002,0.454067775200002,1.2460677752,1.8180677752,0.628067775200002
"50",2018-08-06 17:05:00,0.538496057600002,0.454496057600002,1.2464960576,1.8164960576,0.628496057600001
"51",2018-08-06 17:10:00,0.535995720399999,0.451995720399999,1.2469957204,1.8159957204,0.625995720399999
"52",2018-08-06 17:15:00,0.536128284,0.452128284,1.247128284,1.816128284,0.626128284
"53",2018-08-06 17:20:00,0.5353329024,0.451332902400001,1.2463329024,1.8153329024,0.6253329024
"54",2018-08-06 17:25:00,0.5376700844,0.4506700844,1.2426700844,1.8116700844,0.6246700844
"55",2018-08-06 17:30:00,0.5338849,0.446884900000001,1.2418849,1.8138849,0.6178849
"56",2018-08-06 17:35:00,0.534445746000001,0.447445746000001,1.242445746,1.812445746,0.621445746000001
"57",2018-08-06 17:40:00,0.532210535999999,0.445210535999999,1.243210536,1.813210536,0.622210535999999
"58",2018-08-06 17:45:00,0.533281242000001,0.449281242000001,1.241281242,1.813281242,0.623281242000001
"59",2018-08-06 17:50:00,0.530709524400001,0.449709524400001,1.2447095244,1.8137095244,0.623709524400001
"60",2018-08-06 17:55:00,0.531086820799999,0.450086820799999,1.2420868208,1.8120868208,0.621086820799999
"61",2018-08-06 18:00:00,0.531708849999999,0.44770885,1.24270885,1.81170885,0.621708849999999
"62",2018-08-06 18:05:00,0.532045357599999,0.4480453576,1.2400453576,1.8100453576,0.622045357599999
"63",2018-08-06 18:10:00,0.531606878000002,0.444606878000002,1.239606878,1.809606878,0.621606878000001
"64",2018-08-06 18:15:00,0.5311174124,0.444117412400001,1.2391174124,1.8091174124,0.6211174124
"65",2018-08-06 18:20:00,0.5274443972,0.4434443972,1.2384443972,1.8104443972,0.6204443972
"66",2018-08-06 18:25:00,0.527933862799999,0.4439338628,1.2389338628,1.8089338628,0.620933862799999
"67",2018-08-06 18:30:00,0.5273526224,0.443352622400001,1.2353526224,1.8073526224,0.6203526224
"68",2018-08-06 18:35:00,0.5243628196,0.440362819600001,1.2383628196,1.8073628196,0.6203628196
"69",2018-08-06 18:40:00,0.5291881184,0.445188118400001,1.2371881184,1.8091881184,0.6221881184
"70",2018-08-06 18:45:00,0.531003220000001,0.444003220000001,1.23900322,1.81100322,0.62100322
"71",2018-08-06 18:50:00,0.528594657599999,0.4445946576,1.2395946576,1.8115946576,0.618594657599999
"72",2018-08-06 18:55:00,0.5277584872,0.4437584872,1.2387584872,1.8107584872,0.6177584872
"73",2018-08-06 19:00:00,0.5277278956,0.4437278956,1.2387278956,1.8087278956,0.6177278956
"74",2018-08-06 19:05:00,0.525258150000001,0.444258150000001,1.23925815,1.80925815,0.615258150000003
"75",2018-08-06 19:10:00,0.5280746004,0.4410746004,1.2390746004,1.8090746004,0.615074600400002
"76",2018-08-06 19:15:00,0.528818996,0.441818996,1.236818996,1.808818996,0.615818996000002
"77",2018-08-06 19:20:00,0.525615052000001,0.441615052000001,1.236615052,1.806615052,0.615615052000003
"78",2018-08-06 19:25:00,0.529104517599999,0.442104517599999,1.2371045176,1.8091045176,0.6161045176
