date_time,t_id,latitude,longitude,wse,temp,flag
03/05/2015 08:15,t001,4320150.248,601903.867,-20.929,12.69,
03/05/2015 08:30,t001,4320150.248,601903.867,-20.932,12.69,
03/05/2015 08:45,t001,4320150.248,601903.867,-20.932,12.69,
03/05/2015 09:00,t001,4320150.248,601903.867,-20.934,12.69,
03/05/2015 09:15,t001,4320150.248,601903.867,-20.935,12.69,
03/05/2015 09:30,t001,4320150.248,601903.867,-20.934,12.69,
03/05/2015 09:45,t001,4320150.248,601903.867,-20.942,12.69,
03/05/2015 10:00,t001,4320150.248,601903.867,-20.949,12.69,
03/05/2015 10:15,t001,4320150.248,601903.867,-20.936,12.69,
03/05/2015 10:30,t001,4320150.248,601903.867,-20.947,12.69,
03/05/2015 10:45,t001,4320150.248,601903.867,-20.948,12.69,
03/05/2015 11:00,t001,4320150.248,601903.867,-20.951,12.79,
03/05/2015 11:15,t001,4320150.248,601903.867,-20.951,12.79,
03/05/2015 11:30,t001,4320150.248,601903.867,-20.947,12.79,
03/05/2015 11:45,t001,4320150.248,601903.867,-20.950,12.88,
03/05/2015 12:00,t001,4320150.248,601903.867,-20.959,12.88,
03/05/2015 12:15,t001,4320150.248,601903.867,-20.963,12.88,
03/05/2015 12:30,t001,4320150.248,601903.867,-20.962,12.88,
03/05/2015 12:45,t001,4320150.248,601903.867,-20.963,12.98,
03/05/2015 13:00,t001,4320150.248,601903.867,-20.963,12.98,
03/05/2015 13:15,t001,4320150.248,601903.867,-20.955,12.98,
03/05/2015 13:30,t001,4320150.248,601903.867,-20.957,13.08,
03/05/2015 13:45,t001,4320150.248,601903.867,-20.953,13.08,
03/05/2015 14:00,t001,4320150.248,601903.867,-20.954,13.17,
03/05/2015 14:15,t001,4320150.248,601903.867,-20.952,13.17,
03/05/2015 14:30,t001,4320150.248,601903.867,-20.953,13.17,
03/05/2015 14:45,t001,4320150.248,601903.867,-20.958,13.27,
03/05/2015 15:00,t001,4320150.248,601903.867,-20.956,13.27,
03/05/2015 15:15,t001,4320150.248,601903.867,-20.957,13.37,
03/05/2015 15:30,t001,4320150.248,601903.867,-20.959,13.37,
03/05/2015 15:45,t001,4320150.248,601903.867,-20.953,13.37,
03/05/2015 16:00,t001,4320150.248,601903.867,-20.959,13.46,
03/05/2015 16:15,t001,4320150.248,601903.867,-20.960,13.46,
03/05/2015 16:30,t001,4320150.248,601903.867,-20.954,13.46,
03/05/2015 16:45,t001,4320150.248,601903.867,-20.955,13.56,
03/05/2015 17:00,t001,4320150.248,601903.867,-20.959,13.56,
03/05/2015 17:15,t001,4320150.248,601903.867,-20.960,13.56,
03/05/2015 17:30,t001,4320150.248,601903.867,-20.959,13.65,
03/05/2015 17:45,t001,4320150.248,601903.867,-20.961,13.65,
03/05/2015 18:00,t001,4320150.248,601903.867,-20.959,13.75,
03/05/2015 18:15,t001,4320150.248,601903.867,-20.959,13.75,
03/05/2015 18:30,t001,4320150.248,601903.867,-20.960,13.75,
03/05/2015 18:45,t001,4320150.248,601903.867,-20.961,13.75,
03/05/2015 19:00,t001,4320150.248,601903.867,-20.961,13.85,
03/05/2015 19:15,t001,4320150.248,601903.867,-20.961,13.85,
03/05/2015 19:30,t001,4320150.248,601903.867,-20.959,13.85,
03/05/2015 19:45,t001,4320150.248,601903.867,-20.960,13.85,
03/05/2015 20:00,t001,4320150.248,601903.867,-20.960,13.85,
03/05/2015 20:15,t001,4320150.248,601903.867,-20.960,13.85,
03/05/2015 20:30,t001,4320150.248,601903.867,-20.963,13.85,
03/05/2015 20:45,t001,4320150.248,601903.867,-20.965,13.85,
03/05/2015 21:00,t001,4320150.248,601903.867,-20.965,13.85,
03/05/2015 21:15,t001,4320150.248,601903.867,-20.964,13.85,
03/05/2015 21:30,t001,4320150.248,601903.867,-20.966,13.85,
03/05/2015 21:45,t001,4320150.248,601903.867,-20.969,13.85,
03/05/2015 22:00,t001,4320150.248,601903.867,-20.966,13.85,
