latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.81420752222222,-111.35727062777774,183.8381,22.25833,192,2019,212.741,139872.809
58.814207516666656,-111.35727058333332,183.8204,22.25806,192,2019,212.723,139872.198
58.814207616666664,-111.3572706833333,183.8353,22.25778,192,2019,212.738,139871.748
58.81420754166665,-111.3572704972222,183.8444,22.25750,192,2019,212.747,139871.696
58.81420761388888,-111.35727061944442,183.8418,22.25722,192,2019,212.744,139871.970
58.81420755833333,-111.35727065277777,183.8458,22.25694,192,2019,212.748,139872.155
58.81420757777776,-111.3572706861111,183.8525,22.25667,192,2019,212.755,139872.302
58.81420769444444,-111.35727066944443,183.855,22.25639,192,2019,212.757,139872.351
58.814207644444444,-111.35727071388888,183.8541,22.25611,192,2019,212.757,139872.312
58.81420765833333,-111.35727065833333,183.8426,22.25583,192,2019,212.745,139872.329
58.81420762222222,-111.35727081944442,183.8365,22.25556,192,2019,212.739,139872.205
58.814207669444436,-111.3572706833333,183.8394,22.25528,192,2019,212.742,139871.980
58.8142076611111,-111.35727060277777,183.8467,22.25500,192,2019,212.749,139871.814
58.81420765555555,-111.3572706833333,183.8455,22.25472,192,2019,212.748,139871.817
58.814207605555545,-111.35727066388888,183.8364,22.25444,192,2019,212.739,139872.017
58.814207611111115,-111.35727066944443,183.8538,22.25417,192,2019,212.756,139872.319
58.814207597222214,-111.35727064166666,183.8529,22.25389,192,2019,212.755,139872.702
58.81420758611112,-111.35727063611108,183.8525,22.25361,192,2019,212.755,139873.143
58.81420758333333,-111.3572706861111,183.8544,22.25333,192,2019,212.757,139873.110
58.814207599999996,-111.35727075277775,183.8518,22.25306,192,2019,212.754,139872.807
58.81420765555555,-111.3572707361111,183.8526,22.25278,192,2019,212.755,139872.469
58.814207669444436,-111.35727070833333,183.8492,22.25250,192,2019,212.752,139872.359
58.814207666666654,-111.35727070555555,183.8464,22.25222,192,2019,212.749,139872.337
58.814207641666655,-111.35727073055556,183.8501,22.25194,192,2019,212.753,139872.226
58.81420759444444,-111.35727072222221,183.8449,22.25167,192,2019,212.747,139872.659
58.81420758055554,-111.35727076666664,183.8572,22.25139,192,2019,212.760,139873.139
58.81420752222222,-111.35727077222222,183.8526,22.25111,192,2019,212.755,139873.339
58.814207525,-111.35727075833331,183.8453,22.25083,192,2019,212.748,139873.414
58.81420752222222,-111.35727077777777,183.8436,22.25056,192,2019,212.746,139873.471
58.814207527777775,-111.35727072222221,183.8372,22.25028,192,2019,212.740,139873.477
58.81420755,-111.35727071666666,183.8402,22.25000,192,2019,212.743,139873.196
58.81420756111111,-111.35727064999999,183.8431,22.24972,192,2019,212.746,139873.057
58.81420755,-111.35727068888887,183.8449,22.24944,192,2019,212.747,139873.016
58.81420755555555,-111.35727071388888,183.842,22.24917,192,2019,212.744,139873.063
58.81420753055555,-111.3572707361111,183.8432,22.24889,192,2019,212.746,139872.982
58.81420751944444,-111.35727070000002,183.8381,22.24861,192,2019,212.741,139872.771
58.814207502777776,-111.35727068888887,183.836,22.24833,192,2019,212.738,139872.830
58.814207525,-111.35727070000002,183.8411,22.24806,192,2019,212.744,139872.833
58.81420756944443,-111.35727067777776,183.8391,22.24778,192,2019,212.742,139872.758
58.814207599999996,-111.35727074444443,183.8414,22.24750,192,2019,212.744,139872.662
58.814207611111115,-111.35727075833331,183.8426,22.24722,192,2019,212.745,139872.687
58.814207588888884,-111.35727079166666,183.8385,22.24694,192,2019,212.741,139872.688
58.81420756111111,-111.35727072222221,183.8341,22.24667,192,2019,212.737,139872.417
58.81420751944444,-111.35727073055556,183.831,22.24639,192,2019,212.733,139872.225
58.81420749444444,-111.35727073055556,183.8362,22.24611,192,2019,212.739,139872.171
58.81420753888888,-111.35727072499999,183.8408,22.24583,192,2019,212.743,139872.082
58.81420751388889,-111.35727070000002,183.8362,22.24556,192,2019,212.739,139872.035
58.81420751388889,-111.3572707111111,183.8371,22.24528,192,2019,212.740,139872.149
58.81420751388889,-111.35727071666666,183.8421,22.24500,192,2019,212.745,139872.410
58.814207499999995,-111.35727070000002,183.8339,22.24472,192,2019,212.736,139872.492
58.81420754444443,-111.35727067499998,183.8317,22.24444,192,2019,212.734,139872.588
58.81420757777776,-111.35727068888887,183.8436,22.24417,192,2019,212.746,139872.657
58.814207597222214,-111.35727073888887,183.844,22.24389,192,2019,212.746,139872.791
58.814207591666666,-111.35727075555553,183.8396,22.24361,192,2019,212.742,139872.880
58.81420758611112,-111.35727075277775,183.8349,22.24333,192,2019,212.737,139872.873
58.81420759444444,-111.35727071388888,183.8297,22.24306,192,2019,212.732,139872.896
58.81420757777776,-111.35727068055553,183.8283,22.24278,192,2019,212.731,139873.007
58.81420758055554,-111.35727063611108,183.833,22.24250,192,2019,212.735,139873.034
58.814207563888885,-111.35727059999999,183.8288,22.24222,192,2019,212.731,139872.941
58.81420756944443,-111.35727063055552,183.8337,22.24194,192,2019,212.736,139872.844
58.814207552777766,-111.35727064999999,183.831,22.24167,192,2019,212.733,139872.644
58.81420756111111,-111.35727066388888,183.8329,22.24139,192,2019,212.735,139872.617
58.814207572222216,-111.35727066666666,183.8396,22.24111,192,2019,212.742,139872.751
58.81420757777776,-111.35727070277775,183.8412,22.24083,192,2019,212.744,139872.749
58.81420758055554,-111.35727068888887,183.8389,22.24056,192,2019,212.741,139872.563
58.81420754444443,-111.35727069444445,183.8348,22.24028,192,2019,212.737,139872.527
58.81420755,-111.35727071944444,183.8332,22.24000,192,2019,212.736,139872.629
58.81420749722221,-111.35727073055556,183.8326,22.23972,192,2019,212.735,139872.884
58.814207502777776,-111.35727069722223,183.8326,22.23944,192,2019,212.735,139873.073
58.81420748055555,-111.35727065277777,183.8272,22.23917,192,2019,212.730,139872.988
58.814207525,-111.35727064444444,183.8367,22.23889,192,2019,212.739,139873.022
58.81420756666666,-111.35727062777774,183.8462,22.23861,192,2019,212.749,139872.924
58.81420758611112,-111.35727067222221,183.84,22.23833,192,2019,212.742,139873.061
58.814207611111115,-111.35727063888888,183.8372,22.23806,192,2019,212.740,139873.322
58.81420762222222,-111.35727062499998,183.842,22.23778,192,2019,212.744,139873.454
58.81420763055555,-111.35727061388887,183.8394,22.23750,192,2019,212.742,139873.723
58.814207616666664,-111.35727056944444,183.8334,22.23722,192,2019,212.736,139873.808
58.814207591666666,-111.3572705861111,183.8353,22.23694,192,2019,212.738,139873.807
58.814207563888885,-111.35727062499998,183.8337,22.23667,192,2019,212.736,139873.651
58.8142075361111,-111.35727067777776,183.8407,22.23639,192,2019,212.743,139873.573
58.81420753888888,-111.35727070277775,183.8363,22.23611,192,2019,212.739,139873.735
58.814207525,-111.35727069722223,183.8361,22.23583,192,2019,212.739,139874.050
58.81420752222222,-111.35727071944444,183.8399,22.23556,192,2019,212.742,139873.985
58.81420754722222,-111.35727067777776,183.8378,22.23528,192,2019,212.740,139873.767
58.81420756111111,-111.35727070000002,183.8338,22.23500,192,2019,212.736,139873.574
58.81420756944443,-111.35727075277775,183.8364,22.23472,192,2019,212.739,139873.396
58.814207591666666,-111.35727073333332,183.8495,22.23444,192,2019,212.752,139873.192
58.81420760277778,-111.35727073333332,183.8516,22.23417,192,2019,212.754,139872.909
58.81420756666666,-111.3572707361111,183.842,22.23389,192,2019,212.744,139872.873
58.81420753888888,-111.35727071944444,183.8376,22.23361,192,2019,212.740,139872.546
58.8142075361111,-111.35727072222221,183.8327,22.23333,192,2019,212.735,139872.141
58.81420756111111,-111.35727071944444,183.8273,22.23306,192,2019,212.730,139871.817
58.814207599999996,-111.35727071388888,183.8306,22.23278,192,2019,212.733,139871.494
58.81420761388888,-111.35727075,183.8337,22.23250,192,2019,212.736,139871.332
58.81420756666666,-111.35727078888888,183.8368,22.23222,192,2019,212.739,139871.214
58.81420754722222,-111.3572707861111,183.8344,22.23194,192,2019,212.737,139870.894
58.81420754722222,-111.35727080555554,183.8373,22.23167,192,2019,212.740,139870.721
58.81420754166665,-111.35727078055555,183.8391,22.23139,192,2019,212.742,139870.822
58.814207533333324,-111.35727077777777,183.8425,22.23111,192,2019,212.745,139871.052
58.81420752222222,-111.35727074444443,183.8394,22.23083,192,2019,212.742,139871.027
58.81420754722222,-111.3572707361111,183.8401,22.23056,192,2019,212.743,139871.000
58.81420756666666,-111.3572707361111,183.837,22.23028,192,2019,212.739,139871.036
58.81420758055554,-111.35727069166666,183.8367,22.23000,192,2019,212.739,139871.085
58.81420755,-111.3572707111111,183.8339,22.22972,192,2019,212.736,139871.100
58.814207516666656,-111.35727075277775,183.8411,22.22944,192,2019,212.744,139871.165
58.81420746111111,-111.35727070833333,183.8327,22.22917,192,2019,212.735,139871.292
58.81420746111111,-111.35727070000002,183.8327,22.22889,192,2019,212.735,139871.229
58.814207463888884,-111.35727070555555,183.842,22.22861,192,2019,212.744,139871.297
58.81420754166665,-111.35727071388888,183.854,22.22833,192,2019,212.756,139871.351
58.81420753055555,-111.35727071388888,183.8514,22.22806,192,2019,212.754,139871.427
58.81420755555555,-111.3572707611111,183.8508,22.22778,192,2019,212.753,139871.542
