latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
58.71614060555555,-111.14727763888891,193.3383,1.81056,224,2019,222.417,79350.726
58.71614065,-111.14727765833334,193.3442,1.81028,224,2019,222.423,79350.733
58.71614063333334,-111.14727754722225,193.3463,1.81000,224,2019,222.425,79350.677
58.71614064166667,-111.14727760555554,193.3529,1.80972,224,2019,222.432,79350.425
58.71614058611112,-111.14727753333334,193.3476,1.80944,224,2019,222.427,79349.581
58.716140566666674,-111.14727759166668,193.3428,1.80917,224,2019,222.422,79348.337
58.716140433333344,-111.14727750555558,193.3317,1.80889,224,2019,222.411,79347.027
58.71614057777777,-111.1472775638889,193.3468,1.80861,224,2019,222.426,79346.382
58.71613279722222,-111.1472775638889,192.1461,1.80722,224,2019,221.225,79349.498
58.71613294166667,-111.14727783888891,192.1673,1.80694,224,2019,221.246,79349.704
58.71613291666668,-111.14727777777779,192.1682,1.80667,224,2019,221.247,79349.777
58.71613285833334,-111.14727778055556,192.1674,1.80639,224,2019,221.246,79350.042
58.71613287222222,-111.14727781111114,192.1803,1.80611,224,2019,221.259,79350.402
58.71613277777778,-111.14727784444445,192.174,1.80583,224,2019,221.253,79350.525
58.71613275277778,-111.14727764444446,192.1646,1.80556,224,2019,221.244,79350.477
58.716132883333344,-111.14727780277778,192.1659,1.80528,224,2019,221.245,79350.299
58.71613288055556,-111.14727765833334,192.1544,1.80500,224,2019,221.233,79349.955
58.71613279166667,-111.14727762222226,192.1474,1.80472,224,2019,221.226,79349.626
58.71613286666667,-111.14727767777778,192.1621,1.80444,224,2019,221.241,79349.482
58.71613294166667,-111.14727774444447,192.1614,1.80417,224,2019,221.240,79349.389
58.71613293055557,-111.14727784166669,192.1612,1.80389,224,2019,221.240,79349.220
58.71613304166669,-111.14727773333334,192.1744,1.80361,224,2019,221.253,79349.055
58.71613299722222,-111.14727773055556,192.1642,1.80333,224,2019,221.243,79349.007
58.716133016666674,-111.1472778138889,192.1616,1.80306,224,2019,221.241,79349.090
58.716133027777786,-111.1472777888889,192.1696,1.80278,224,2019,221.249,79349.395
58.71613305000001,-111.14727771666668,192.1673,1.80250,224,2019,221.246,79349.481
58.71613301111111,-111.14727774722225,192.1608,1.80222,224,2019,221.240,79349.333
58.71613298333334,-111.14727755833334,192.1527,1.80194,224,2019,221.232,79349.330
58.716133088888895,-111.1472778777778,192.1757,1.80167,224,2019,221.255,79349.096
58.716133152777786,-111.14727779166667,192.1895,1.80139,224,2019,221.269,79348.681
58.71613314722224,-111.14727784722223,192.1901,1.80111,224,2019,221.269,79348.337
58.71613312777778,-111.14727778611112,192.186,1.80083,224,2019,221.265,79348.083
58.716133097222226,-111.14727786944445,192.1909,1.80056,224,2019,221.270,79347.942
58.716133061111115,-111.1472778916667,192.1756,1.80028,224,2019,221.255,79347.770
58.71613310555555,-111.14727823333335,192.1892,1.80000,224,2019,221.268,79347.593
58.716132936111116,-111.14727748055556,192.1667,1.79972,224,2019,221.246,79347.465
58.71613284444446,-111.14727722222224,192.201,1.79944,224,2019,221.280,79347.551
58.71613321111112,-111.14727825555556,192.2152,1.79917,224,2019,221.294,79347.647
58.71613326944444,-111.14727815555558,192.2245,1.79889,224,2019,221.304,79347.955
58.71613323333334,-111.14727808611113,192.2213,1.79861,224,2019,221.300,79348.026
58.716133327777776,-111.1472780277778,192.2138,1.79833,224,2019,221.293,79347.711
58.71613329722223,-111.14727791111112,192.1996,1.79806,224,2019,221.279,79347.504
58.71613320000001,-111.1472777027778,192.1931,1.79778,224,2019,221.272,79347.460
58.71613323333334,-111.14727768611114,192.2032,1.79750,224,2019,221.282,79347.579
58.71613327500002,-111.14727767777778,192.2031,1.79722,224,2019,221.282,79347.656
58.71613330833335,-111.1472776638889,192.1937,1.79694,224,2019,221.273,79347.398
58.71613330000001,-111.14727764722223,192.1934,1.79667,224,2019,221.272,79346.975
58.71613332500001,-111.14727764444446,192.1913,1.79639,224,2019,221.270,79347.010
58.71613332222223,-111.14727768055558,192.1931,1.79611,224,2019,221.272,79347.220
58.71613329166667,-111.1472777138889,192.1937,1.79583,224,2019,221.273,79347.217
58.71613333055556,-111.14727772500002,192.1982,1.79556,224,2019,221.277,79347.016
58.71613338055556,-111.14727782222225,192.205,1.79528,224,2019,221.284,79346.753
58.71613335277778,-111.14727780555556,192.2109,1.79500,224,2019,221.290,79346.392
58.71613332500001,-111.14727775833336,192.201,1.79472,224,2019,221.280,79346.224
58.716133238888894,-111.14727767500004,192.1829,1.79444,224,2019,221.262,79346.094
58.71613325277778,-111.14727768055558,192.1849,1.79417,224,2019,221.264,79345.906
58.716133230555556,-111.14727776388891,192.1887,1.79389,224,2019,221.268,79345.802
58.71613337777777,-111.14727778611112,192.2019,1.79361,224,2019,221.281,79345.808
