"","River","ID","Longitude","Latitude","Projection","Year","Start","End","Offset","Time"
"35","QF",2093011,464887,6527292,"UTM 12N",2018,"8/6/2018 12:00","9/30/2018 0:00",180.9,"8/6/2018 11:02"
"36","QF",2012689,467133,6520530,"UTM 12N",2018,"8/6/2018 19:00","9/30/2018 0:00",177.9,"8/6/2019 18:28"
"37","QF",2043880,469041,6517593,"UTM 12N",2018,"8/6/2018 20:00","9/30/2018 0:00",179.7,"8/6/2018 18:41"
"38","QF",2024014,475490,6514306,"UTM 12N",2018,"8/6/2018 20:00","9/30/2018 0:00",183.8,"8/6/2018 19:04"
"39","QF",2043854,475601,6509214,"UTM 12N",2018,"8/6/2018 20:00","9/30/2018 0:00",181.6,"8/6/2018 19:21"
"41","QF",2024020,477408,6506160,"UTM 12N",2018,"8/8/2018 14:00","9/30/2018 0:00",179.5,"8/8/2018 13:30"
"40","QF",2091440,481892,6502725,"UTM 12N",2018,"8/8/2018 14:00","9/30/2018 0:00",180,"8/8/2018 13:09"
