"","River","ID","Longitude","Latitude","Projection","Year","Start","End","Offset","Time"
"34","Peace",2075532,466210,6530745,"UTM 12N",2018,"8/6/2018 16:00","9/30/2018 0:00",180.6,"8/6/2018 14:52"
"31","Peace",2093027,459635,6534738,"UTM 12N",2018,"8/6/2018 13:00","9/30/2018 0:00",184.9,"8/6/2018 11:44"
"30","Peace",2075529,454179,6535824,"UTM 12N",2018,"8/6/2018 13:00","9/30/2018 0:00",184.9,"8/6/2018 11:59"
"32","Peace",2084778,452764,6537468,"UTM 12N",2018,"8/6/2018 13:00","9/30/2018 0:00",184.9,"8/6/2018 12:18"
"33","Peace",2012697,444199,6532689,"UTM 12N",2018,"8/6/2018 14:00","9/30/2018 0:00",180.6,"8/6/2018 13:26"
