"","River","ID","Longitude","Latitude","Projection","Year","Start","End","Offset","Time"
"2","Athabasca",2084764,489268,6478260,"UTM 12N",2018,"8/7/2018 13:00","10/1/2018 0:00",180.8,"8/7/2018 11:01"
"4","Athabasca",2024030,485692,6475948,"UTM 12N",2018,"8/7/2018 13:00","10/3/2018 0:00",182.5,"8/7/2018 11:18"
"5","Athabasca",2084756,476489,6478681,"UTM 12N",2018,"8/7/2018 13:00","10/3/2018 0:00",182.2,"8/7/2018 11:44"
"6","Athabasca",2043113,471368,6476593,"UTM 12N",2018,"8/7/2018 13:00","10/3/2018 0:00",179.6,"8/7/2018 12:10"
"3","Athabasca",2075530,469303,6472984,"UTM 12N",2018,"8/7/2018 13:00","10/1/2018 0:00",182.8,"8/7/2018 12:25"
