"","River","ID","Longitude","Latitude","Projection","Year","Start","End","Offset","Time"
"17","Fletcher",2024041,494847,6491888,"UTM 12N",2018,"8/7/2018 10:00","10/3/2018 0:00",190.8,"8/7/2018 9:21"
"18","Fletcher",2024039,496469,6489244,"UTM 12N",2018,"8/7/2018 11:00","10/1/2018 0:00",180.7,"8/7/2018 9:37"
"19","Fletcher",2024043,496334,6487252,"UTM 12N",2018,"8/7/2018 11:00","10/3/2018 0:00",180,"8/7/2018 9:47"
"20","Fletcher",2012992,496025,6485871,"UTM 12N",2018,"8/7/2018 11:00","10/1/2018 0:00",181.8,"8/7/2018 9:58"
"21","Fletcher",2043851,495762,6481662,"UTM 12N",2018,"8/7/2018 11:00","10/3/2018 0:00",177.9,"8/7/2018 10:18"
