Filename,Measurement_type,Location,Measurement_number,Comments,Party,Boat_motor,Date,Start_time,End_time,Time_zone,Transducer_depth,Mag_declination,Track_ref,Start_bank,GPS_quality,HDOP,Voltage,L_edge_dist,R_edge_dist,L_edge_Qual,R_edge_Qual,Edge_notes,Depth_ref_invalid,Depth_notes,Depth_reference,Track_ref_invalid,Veloc_vector,Veloc_SNR,Width,Area,Veloc_avg,Boat_veloc_avg,Boat_water_ratio,Per_Measured,Keep_or_remove,Final_notes,Quality,Latitude,Longitude,Q,Mat_export
2.01908E+13,,RC19-01,1,Discharge,TL/EE,Robert's boat,8/5/2019,12:33:09,12:43:23,-6,0.200000003,13.5,BT,Right,2,1,10.23,10,5,1,1,,,,VB,,,,313.725,2585.202148,0.568,0.542,0.954225352,75.5,,,2,58.87450575,-111.2468483,1468.054913,
2.01908E+13,,RC19-01,2,Discharge,TL/EE,Robert's boat,8/5/2019,12:43:34,12:50:36,-6,0.200000003,13.5,BT,Left,2,1,10.2,5,10,1,1,,,,VB,,,,322.95,2577.143555,0.586,0.794,1.354948805,75.3,,,2,58.87500611,-111.2468259,1510.175539,
2.01908E+13,,RC19-01,NaN,Backscatter,EE,Robert's boat,8/5/2019,12:53:21,13:03:51,-6,0.200000003,13.5,BT,Right,0,1,10.1,10,5,0,0,,,,VB,,,,220.95,2271.748535,0.499,0.669,1.340681363,75.1,,,1,58.87433171,-111.2459723,1134.163921,
2.01908E+13,,Discard,NaN,Discard,EE,Robert's boat,8/5/2019,13:03:57,13:07:37,-6,0.200000003,13.5,BT,Left,2,1,10.09,5,10,0,1,,,,VB,,,,39.181,285.6559143,-0.184,0.175,-0.951086957,59.1,,,0,58.87549681,-111.2474844,-52.46414742,
2.01908E+13,,RC19-02,1,Discharge,EFE,Robert's boat,8/5/2019,13:46:47,13:52:33,-6,0.200000003,13.5,BT,Left,2,1,10.04,10,6,1,1,,,,VB,,,,256.337,2543.13916,-0.578,0.72,-1.24567474,74.9,,,2,58.90586574,-111.1859253,1469.654629,
2.01908E+13,,RC19-02,2,Discharge,EFE,Robert's boat,8/5/2019,13:52:39,13:57:47,-6,0.200000003,13.5,BT,Right,2,1,10,6,6,1,1,,,,VB,,,,257.68,2553.669678,-0.566,0.803,-1.418727915,75.9,,,2,58.90572946,-111.1862282,1444.503894,
2.01908E+13,,RC19-02,3,Backscatter,EFE,Robert's boat,8/5/2019,13:57:53,14:10:21,-6,0.200000003,13.5,BT,Left,0,1,9.93,6,6,1,0,,,,VB,,,,98.103,417.3970947,-1.399,0.633,-0.452466047,73.9,,,1,58.90538467,-111.1855561,-584.0504551,
2.01908E+13,,RC19-Along1,1,Backscatter,EE,Robert's boat,8/5/2019,14:11:51,14:37:05,-6,0.200000003,13.5,BT,Left,0,1,9.85,30,6,1,1,,,,VB,,,,"2,451.65",33300.73047,0.255,1.783,6.992156863,74.3,,,1,58.89639795,-111.1917012,8483.020648,
2.01908E+13,,RC19-03,1,Discharge,EE,Robert's boat,8/5/2019,14:37:10,14:40:26,-6,0.200000003,13.5,BT,Right,2,0,9.85,10,5,1,1,,,,VB,,,,168.185,2727.837891,0.498,0.81,1.626506024,74.4,,,2,58.88627326,-111.2000137,1357.876082,
2.01908E+13,,RC19-03,2,Discharge,EE,Robert's boat,8/5/2019,14:40:30,14:43:40,-6,0.200000003,13.5,BT,Left,2,1,9.84,5,6,1,1,,,,VB,,,,157.693,2711.591309,0.502,0.786,1.565737052,75.4,,,2,58.8863316,-111.2000713,1361.622021,
